id,created_at,tadarus_user,tadarus_id,from_surah,from_ayah,to_surah,to_ayah,note
4,2026-02-18 20:10:59.89394+00,14,1,Al fatihah,1,Al Baqarah,30,
5,2026-02-18 20:11:38.159893+00,15,1," Al baqarah ",31," Al baqarah ",86,
6,2026-02-18 20:12:02.425554+00,13,1," Al baqarah ",87," Al baqarah ",150,
7,2026-02-18 20:12:20.23536+00,12,1," Al baqarah ",151," Al baqarah ",200,
8,2026-02-18 20:12:42.125882+00,11,1," Al baqarah ",201," Al baqarah ",231,mantapp
9,2026-02-18 21:54:48.093401+00,12,1,"Al Baqarah ",232,"Al Baqarah ",260,
10,2026-02-18 22:22:58.001543+00,15,1,"Al Baqarah ",261,"Al Baqarah ",286,
11,2026-02-18 23:17:46.538161+00,18,1,Ali Imran,1,Ali Imran,30,
13,2026-02-19 06:47:46.659415+00,11,1,Al Imran,31,Al Imran,71,
18,2026-02-19 22:08:08.11241+00,15,1,Ali Imran,72,Ali Imran,112,
19,2026-02-19 22:50:11.590772+00,18,1,Ali Imran,113,Ali Imran,150,
20,2026-02-20 22:03:07.094537+00,15,1,Ali Imran,151,"Ali Imran ",200,
21,2026-02-20 22:18:29.370108+00,15,1,An Nisa,1,An Nisa,23,
22,2026-02-21 04:31:09.642269+00,14,1,An nisa,24,An nisa,50,
23,2026-02-21 19:57:26.955899+00,11,1,"An nisa ",51,"An nisa ",76,
24,2026-02-21 21:31:52.972631+00,12,1,An Nisa,77,An Nisa,110,
25,2026-02-21 22:08:52.688201+00,15,1,"An Nisa ",111,An Nisa,147,
26,2026-02-21 22:19:04.015452+00,15,1,An Nisa,148,An Nisa,156,
27,2026-02-22 21:12:21.040869+00,12,1,"An Nisa ",157,Al Maidah,21,
28,2026-02-22 22:06:11.753197+00,15,1,Al Maidah,22,Al Maidah,50,
29,2026-02-22 22:15:35.894652+00,15,1,Al Maidah,51,Al Maidah,86,
30,2026-02-22 22:25:12.630456+00,16,1,Al Maidah,86,Al Maidah,120,
